Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost (Millions),Unadjusted Cost (Millions),Deaths,,,,,,Filtering 40 billion +
Midwest/Mid-Atlantic Severe Weather (June 2008),Severe Storm,2008-06-06,2008-06-12,"$2,355.7","$1,635.9",18,,,,,,2355.7
Hurricane Dolly (July 2008),Tropical Cyclone,2008-07-23,2008-07-25,"$1,812.2","$1,267.3",3,,,,,,1812.2
Hurricane Gustav (September 2008),Tropical Cyclone,2008-08-31,2008-09-03,"$8,575.7","$5,997.0",53,,,,,,8575.7
U.S. Wildfires (Fall 2008),Wildfire,2008-09-01,2008-11-30,"$1,777.0","$1,234.0",16,,,,,,1777
Hurricane Ike (September 2008),Tropical Cyclone,2008-09-12,2008-09-14,"$43,198.4","$29,998.8",112,,,,,,
Southwest/Great Plains Drought (2009),Drought,2009-01-01,2009-12-31,"$5,203.2","$3,492.0",0,,,,,,5203.2
Southeast/Ohio Valley Severe Weather (February 2009),Severe Storm,2009-02-10,2009-02-11,"$2,575.4","$1,740.2",10,,,,,,2575.4
Midwest/Southeast Tornadoes (March 2009),Severe Storm,2009-03-25,2009-03-28,"$2,427.9","$1,640.5",0,,,,,,2427.9
South/Southeast Severe Weather and Tornadoes (April 2009),Severe Storm,2009-04-09,2009-04-10,"$2,102.3","$1,430.1",6,,,,,,2102.3
Central Derecho and Tornadoes (May 2009),Severe Storm,2009-05-07,2009-05-09,"$1,265.8",$861.0,7,,,,,,1265.8
Western Wildfires (Summer-Fall 2009),Wildfire,2009-06-01,2009-11-30,"$1,477.4","$1,011.9",10,,,,,,1477.4
"Midwest, South and East Severe Weather (June 2009)",Severe Storm,2009-06-09,2009-06-12,"$1,939.0","$1,328.1",0,,,,,,1939
Colorado Hail Storm (July 2009),Severe Storm,2009-07-20,2009-07-20,"$1,460.0","$1,000.0",0,,,,,,1460
Georgia Flooding (September 2009),Flooding,2009-09-19,2009-09-22,"$1,302.8",$898.5,10,,,,,,1302.8
Northeast Winter Storm (February 2010),Winter Storm,2010-02-09,2010-02-11,"$1,184.8",$817.0,3,,,,,,1184.8
Northeast Flooding (March 2010),Flooding,2010-03-01,2010-03-31,"$2,674.0","$1,844.2",11,,,,,,2674
East/South Flooding and Severe Weather (May 2010),Flooding,2010-04-30,2010-05-02,"$3,286.2","$2,266.3",32,,,,,,3286.2
"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather (May 2010)",Severe Storm,2010-05-10,2010-05-12,"$4,800.7","$3,333.8",3,,,,,,4800.7
Rockies/Central/East Severe Weather (June 2010),Severe Storm,2010-06-10,2010-06-15,"$1,297.5",$901.0,2,,,,,,1297.5
Midwest/Northeast Severe Storms and Flooding (July 2010),Severe Storm,2010-07-20,2010-07-23,"$1,365.6",$948.3,0,,,,,,1365.6
Arizona Severe Weather (October 2010),Severe Storm,2010-10-05,2010-10-06,"$5,472.0","$3,800.0",0,,,,,,5472
Groundhog Day Blizzard (February 2011),Winter Storm,2011-02-01,2011-02-03,"$2,565.7","$1,794.2",36,,,,,,2565.7
Southern Plains/Southwest Drought and Heat Wave (Spring-Summer 2011),Drought,2011-03-01,2011-08-31,"$17,109.5","$11,964.8",95,,,,,,17109.5
Mississippi River flooding (April-May 2011),Flooding,2011-04-01,2011-05-31,"$4,270.1","$2,986.0",7,,,,,,4270.1
Midwest/Southeast Tornadoes and Derecho (April 2011),Severe Storm,2011-04-04,2011-04-05,"$3,885.3","$2,775.2",9,,,,,,3885.3
Southeast/Midwest Tornadoes (April 2011),Severe Storm,2011-04-08,2011-04-11,"$3,051.0","$2,179.3",0,,,,,,3051
Midwest/Southeast Tornadoes (April 2011),Severe Storm,2011-04-14,2011-04-16,"$2,882.9","$2,059.2",38,,,,,,2882.9
Ohio Valley Derecho and Southern Tornadoes (April 2011),Severe Storm,2011-04-19,2011-04-20,"$1,452.8","$1,037.5",0,,,,,,1452.8
Southeast/Ohio Valley/Midwest Tornadoes (April 2011),Severe Storm,2011-04-25,2011-04-28,"$14,310.7","$10,222.0",321,,,,,,14310.7
Missouri River flooding (May-June 2011),Flooding,2011-05-01,2011-06-30,"$2,863.3","$2,002.3",5,,,,,,2863.3
Midwest/Southeast Tornadoes (May 2011),Severe Storm,2011-05-22,2011-05-27,"$12,644.5","$9,096.8",177,,,,,,12644.5
"Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)",Wildfire,2011-06-01,2011-11-30,"$2,530.8","$1,820.8",5,,,,,,2530.8
Midwest/Southeast Tornadoes and Severe Weather (June 2011),Severe Storm,2011-06-18,2011-06-22,"$2,136.6","$1,537.3",3,,,,,,2136.6
"North Central Severe Weather (July 1, 2011)",Severe Storm,2011-07-01,2011-07-01,"$1,234.4",$888.0,0,,,,,,1234.4
"Rockies and Midwest Derecho (July 10-11, 2011)",Severe Storm,2011-07-10,2011-07-11,"$1,716.6","$1,235.0",2,,,,,,1716.6
"Midwest/Southeast Severe Weather (August 17-18, 2011)",Severe Storm,2011-08-17,2011-08-18,"$1,600.4","$1,151.4",0,,,,,,1600.4
Hurricane Irene (August 2011),Tropical Cyclone,2011-08-26,2011-08-28,"$18,756.7","$13,494.0",45,,,,,,18756.7
Tropical Storm Lee (September 2011),Tropical Cyclone,2011-09-01,2011-09-05,"$3,467.3","$2,512.5",21,,,,,,3467.3
Northeastern Winter Storm (October 2011),Winter Storm,2011-10-29,2011-10-30,"$1,285.8",$925.0,1,,,,,,1285.8
U.S. Drought/Heat Wave (2012),Drought,2012-01-01,2012-12-31,"$41,705.2","$30,003.6",123,,,,,,
Southeast/Ohio Valley Tornadoes (March 2012),Severe Storm,2012-03-02,2012-03-03,"$4,286.4","$3,128.8",42,,,,,,4286.4
Texas Tornadoes (April 2012),Severe Storm,2012-04-02,2012-04-03,"$1,390.9","$1,015.3",0,,,,,,1390.9
Midwest Tornadoes (April 2012),Severe Storm,2012-04-13,2012-04-14,"$1,539.4","$1,123.6",6,,,,,,1539.4
Midwest/Ohio Valley Severe Weather (April-May 2012),Severe Storm,2012-04-28,2012-05-01,"$4,488.6","$3,276.3",1,,,,,,4488.6
Southern Plains/Midwest/Northeast Severe Weather (May 2012),Severe Storm,2012-05-25,2012-05-30,"$3,156.1","$2,303.7",1,,,,,,3156.1
Western Wildfires (Summer-Fall 2012),Wildfire,2012-06-01,2012-11-30,"$2,381.7","$1,738.5",8,,,,,,2381.7
Rockies/Southwest Severe Weather (June 2012),Severe Storm,2012-06-06,2012-06-12,"$3,559.0","$2,597.8",0,,,,,,3559
Plains/East/Northeast Derecho (June-July 2012),Severe Storm,2012-06-29,2012-07-02,"$3,957.0","$2,888.4",28,,,,,,3957
Hurricane Isaac (August 2012),Tropical Cyclone,2012-08-26,2012-08-31,"$3,758.4","$2,763.5",9,,,,,,3758.4
Hurricane Sandy (October 2012),Tropical Cyclone,2012-10-30,2012-10-31,"$88,453.9","$65,039.6",159,,,,,,
Southern Severe Weather (February 2013),Severe Storm,2013-02-24,2013-02-25,"$1,244.8",$922.0,1,,,,,,1244.8
Western/Plains Drought/Heat Wave (Spring-Fall 2013),Drought,2013-03-01,2013-11-30,"$14,179.3","$10,425.9",53,,,,,,14179.3
Southeast Severe Weather (March 2013),Severe Storm,2013-03-18,2013-03-18,"$2,727.0","$2,020.0",1,,,,,,2727
Midwest/Plains Severe Weather (April 2013),Severe Storm,2013-04-07,2013-04-11,"$1,949.4","$1,444.0",1,,,,,,1949.4
Illinois Flooding and Severe Weather (April 2013),Flooding,2013-04-16,2013-04-19,"$1,454.1","$1,077.0",4,,,,,,1454.1
Midwest/Plains/East Tornadoes (May 2013),Severe Storm,2013-05-18,2013-05-22,"$3,240.5","$2,400.3",27,,,,,,3240.5
Midwest/Plains/Northeast Tornadoes (May 2013),Severe Storm,2013-05-27,2013-05-31,"$2,448.4","$1,813.5",10,,,,,,2448.4
Midwest Severe Weather (August 2013),Severe Storm,2013-08-06,2013-08-07,"$1,396.2","$1,041.9",0,,,,,,1396.2
Colorado Flooding (September 2013),Flooding,2013-09-10,2013-09-16,"$2,021.4","$1,508.5",9,,,,,,2021.4
