Key,Name,Disaster,Date,Cost,Deaths
165,Groundhog Day Blizzard (February 2011),Winter Storm,2011-02-03,2565.7,36
166,Southern Plains/Southwest Drought and Heat Wave (Spring-Summer 2011),Drought,2011-08-31,17109.5,95
167,Mississippi River flooding (April-May 2011),Flooding,2011-05-31,4270.1,7
168,Midwest/Southeast Tornadoes and Derecho (April 2011),Severe Storm,2011-04-05,3885.3,9
169,Southeast/Midwest Tornadoes (April 2011),Severe Storm,2011-04-11,3051,0
170,Midwest/Southeast Tornadoes (April 2011),Severe Storm,2011-04-16,2882.9,38
171,Ohio Valley Derecho and Southern Tornadoes (April 2011),Severe Storm,2011-04-20,1452.8,0
172,Southeast/Ohio Valley/Midwest Tornadoes (April 2011),Severe Storm,2011-04-28,14310.7,321
173,Missouri River flooding (May-June 2011),Flooding,2011-06-30,2863.3,5
174,Midwest/Southeast Tornadoes (May 2011),Severe Storm,2011-05-27,12644.5,177
175,"Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)",Wildfire,2011-11-30,2530.8,5
176,Midwest/Southeast Tornadoes and Severe Weather (June 2011),Severe Storm,2011-06-22,2136.6,3
177,"North Central Severe Weather (July 1, 2011)",Severe Storm,2011-07-01,1234.4,0
178,"Rockies and Midwest Derecho (July 10-11, 2011)",Severe Storm,2011-07-11,1716.6,2
179,"Midwest/Southeast Severe Weather (August 17-18, 2011)",Severe Storm,2011-08-18,1600.4,0
180,Hurricane Irene (August 2011),Tropical Cyclone,2011-08-28,18756.7,45
181,Tropical Storm Lee (September 2011),Tropical Cyclone,2011-09-05,3467.3,21
182,Northeastern Winter Storm (October 2011),Winter Storm,2011-10-30,1285.8,1
183,U.S. Drought/Heat Wave (2012),Drought,2012-12-31,41705.2,123
184,Southeast/Ohio Valley Tornadoes (March 2012),Severe Storm,2012-03-03,4286.4,42
185,Texas Tornadoes (April 2012),Severe Storm,2012-04-03,1390.9,0
186,Midwest Tornadoes (April 2012),Severe Storm,2012-04-14,1539.4,6
187,Midwest/Ohio Valley Severe Weather (April-May 2012),Severe Storm,2012-05-01,4488.6,1
188,Southern Plains/Midwest/Northeast Severe Weather (May 2012),Severe Storm,2012-05-30,3156.1,1
189,Western Wildfires (Summer-Fall 2012),Wildfire,2012-11-30,2381.7,8
190,Rockies/Southwest Severe Weather (June 2012),Severe Storm,2012-06-12,3559,0
191,Plains/East/Northeast Derecho (June-July 2012),Severe Storm,2012-07-02,3957,28
192,Hurricane Isaac (August 2012),Tropical Cyclone,2012-08-31,3758.4,9
193,Hurricane Sandy (October 2012),Tropical Cyclone,2012-10-31,88453.9,159
194,Southern Severe Weather (February 2013),Severe Storm,2013-02-25,1244.8,1
195,Western/Plains Drought/Heat Wave (Spring-Fall 2013),Drought,2013-11-30,14179.3,53
196,Southeast Severe Weather (March 2013),Severe Storm,2013-03-18,2727,1
197,Midwest/Plains Severe Weather (April 2013),Severe Storm,2013-04-11,1949.4,1
198,Illinois Flooding and Severe Weather (April 2013),Flooding,2013-04-19,1454.1,4
199,Midwest/Plains/East Tornadoes (May 2013),Severe Storm,2013-05-22,3240.5,27
200,Midwest/Plains/Northeast Tornadoes (May 2013),Severe Storm,2013-05-31,2448.4,10
201,Midwest Severe Weather (August 2013),Severe Storm,2013-08-07,1396.2,0
202,Colorado Flooding (September 2013),Flooding,2013-09-16,2021.4,9
203,Ohio Valley Tornadoes (November 2013),Severe Storm,2013-11-17,1472.2,8
204,Western Drought (2014),Drought,2014-12-31,5295.5,0
205,Midwest/Southeast/Northeast Winter Storm (January 2014),Winter Storm,2014-01-08,2911.5,16
206,Plains Severe Weather (April 2014),Severe Storm,2014-04-03,1893.8,0
207,Central Severe Weather (April 2014),Severe Storm,2014-04-13,1211.7,0
208,Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014),Severe Storm,2014-05-01,2291.6,33
209,Center Severe Weather (May 2014),Severe Storm,2014-05-14,1126,0
210,Rockies/Midwest/Eastern Severe Weather (May 2014),Severe Storm,2014-05-23,4901.4,0
211,Rockies/Central Plains Severe Weather (June 2014),Severe Storm,2014-06-05,2533.4,2
212,Michigan and Northeast Flooding (August 2014),Flooding,2014-08-13,1361.9,2
213,Rockies/Plains Severe Weather (September 2014),Severe Storm,2014-10-02,1848.6,0
214,Western Drought (2015),Drought,2015-12-31,5984.4,0
215,"Central and Eastern Winter storm, Cold Wave (February 2015)",Winter Storm,2015-02-20,3969.3,30
216,Midwest/Ohio Valley Severe Weather (April 2015),Severe Storm,2015-04-09,2069,2
217,South/Southeast Severe Weather (April 2015),Severe Storm,2015-04-20,1707.6,0
218,South and Southeast Severe Weather (April 2015),Severe Storm,2015-04-25,1255.8,3
219,Southern Plains Tornadoes (May 2015),Severe Storm,2015-05-10,1679.2,4
220,Texas and Oklahoma Flooding and Severe Weather (May 2015),Flooding,2015-05-26,3350.7,31
221,Western and Alaskan Wildfires (Summer-Fall 2015),Wildfire,2015-11-30,3996.9,12
222,Central and Northeast Severe Weather (June 2015),Severe Storm,2015-06-25,1547.1,1
223,South Carolina and East Coast Flooding (October 2015),Flooding,2015-10-05,2637.7,25
224,Texas Tornadoes and Midwest Flooding (December 2015),Severe Storm,2015-12-29,2609.3,50
225,West/Northeast/Southeast Drought (2016),Drought,2016-12-31,4580,0
226,Southeast and Eastern Tornadoes (February 2016),Severe Storm,2016-02-24,1372.8,10
227,Texas and Louisiana Flooding (March 2016),Flooding,2016-03-12,3029.1,5
228,Southern Severe Weather (March 2016),Severe Storm,2016-03-18,1597.6,1
229,North Texas Hail Storm (March 2016),Severe Storm,2016-03-24,2725.5,0
230,North/Central Texas Hail Storm (April 2016),Severe Storm,2016-04-12,4583.2,0
231,Houston Flooding (April 2016),Flooding,2016-04-18,3559.1,8
232,South/Southeast Tornadoes (April 2016),Severe Storm,2016-05-02,3136.7,6
233,Plains Tornadoes and Central Severe Weather (May 2016),Severe Storm,2016-05-11,2252.9,2
234,Rockies/Central Tornadoes and Severe Weather (May 2016),Severe Storm,2016-05-26,1501.5,0
235,Western/Southeast Wildfires (Summer-Fall 2016),Wildfire,2016-12-31,3113.5,21
236,West Virginia Flooding and Ohio Valley Tornadoes (June 2016),Flooding,2016-06-24,1288.5,23
237,Rockies and Northeast Severe Weather (July 2016),Severe Storm,2016-07-30,1920,0
238,Louisiana Flooding (August 2016),Flooding,2016-08-15,13300,13
239,Hurricane Matthew (October 2016),Tropical Cyclone,2016-10-12,13000,49
240,Southern Tornado Outbreak and Western Storms (January 2017),Severe Storm,2017-01-22,1425.6,24
241,California Flooding (February 2017),Flooding,2017-02-22,1935,5
242,Central/Southeast Tornado Outbreak (March 2017),Severe Storm,2017-03-01,2329.9,6
